I10_PR,CCS,CCS_lvl1,CCS_lvl2
0TT30ZZ,PR104,PR-10,PR-10.3
0TT34ZZ,PR104,PR-10,PR-10.3
0TT37ZZ,PR104,PR-10,PR-10.3
0TT38ZZ,PR104,PR-10,PR-10.3
0TT40ZZ,PR104,PR-10,PR-10.3
0TT44ZZ,PR104,PR-10,PR-10.3
0TT47ZZ,PR104,PR-10,PR-10.3
0TT48ZZ,PR104,PR-10,PR-10.3
0TY00Z0,PR105,PR-10,PR-10.4
0TY00Z1,PR105,PR-10,PR-10.4
0TY00Z2,PR105,PR-10,PR-10.4
0TY10Z0,PR105,PR-10,PR-10.4
0TY10Z1,PR105,PR-10,PR-10.4
0TY10Z2,PR105,PR-10,PR-10.4
0TUC07Z,PR106,PR-10,PR-10.5
0TUC0JZ,PR106,PR-10,PR-10.5
0TUC0KZ,PR106,PR-10,PR-10.5
0TUC47Z,PR106,PR-10,PR-10.5
0TUC4JZ,PR106,PR-10,PR-10.5
0TUC4KZ,PR106,PR-10,PR-10.5
0TUC77Z,PR106,PR-10,PR-10.5
0TUC7JZ,PR106,PR-10,PR-10.5
0TUC7KZ,PR106,PR-10,PR-10.5
0TUC87Z,PR106,PR-10,PR-10.5
0TUC8JZ,PR106,PR-10,PR-10.5
0TUC8KZ,PR106,PR-10,PR-10.5
0TF30ZZ,PR107,PR-10,PR-10.6
0TF33ZZ,PR107,PR-10,PR-10.6
0TF34ZZ,PR107,PR-10,PR-10.6
0TF37ZZ,PR107,PR-10,PR-10.6
0TF38ZZ,PR107,PR-10,PR-10.6
0TF3XZZ,PR107,PR-10,PR-10.6
0TF40ZZ,PR107,PR-10,PR-10.6
