I10_DX,CCS,CCS_lvl1,CCS_lvl2
B0820,DX7,DX-1,DX-1.3
B0821,DX7,DX-1,DX-1.3
B0822,DX7,DX-1,DX-1.3
B083,DX7,DX-1,DX-1.3
B084,DX7,DX-1,DX-1.3
B085,DX7,DX-1,DX-1.3
B0860,DX7,DX-1,DX-1.3
B0861,DX7,DX-1,DX-1.3
B0862,DX7,DX-1,DX-1.3
B0869,DX7,DX-1,DX-1.3
B0870,DX7,DX-1,DX-1.3
B0871,DX7,DX-1,DX-1.3
B0872,DX7,DX-1,DX-1.3
B0879,DX7,DX-1,DX-1.3
B088,DX7,DX-1,DX-1.3
B09,DX7,DX-1,DX-1.3
B1081,DX7,DX-1,DX-1.3
B1082,DX7,DX-1,DX-1.3
B1089,DX7,DX-1,DX-1.3
B252,DX7,DX-1,DX-1.3
B258,DX7,DX-1,DX-1.3
B259,DX7,DX-1,DX-1.3
B260,DX7,DX-1,DX-1.3
B263,DX7,DX-1,DX-1.3
B2684,DX7,DX-1,DX-1.3
B2689,DX7,DX-1,DX-1.3
B269,DX7,DX-1,DX-1.3
B2700,DX7,DX-1,DX-1.3
B2709,DX7,DX-1,DX-1.3
B2710,DX7,DX-1,DX-1.3
B2719,DX7,DX-1,DX-1.3
B2780,DX7,DX-1,DX-1.3
B2789,DX7,DX-1,DX-1.3
B2790,DX7,DX-1,DX-1.3
B2799,DX7,DX-1,DX-1.3
B330,DX7,DX-1,DX-1.3
B331,DX7,DX-1,DX-1.3
B333,DX7,DX-1,DX-1.3
B334,DX7,DX-1,DX-1.3
B338,DX7,DX-1,DX-1.3
B340,DX7,DX-1,DX-1.3
B341,DX7,DX-1,DX-1.3
B342,DX7,DX-1,DX-1.3
B343,DX7,DX-1,DX-1.3
B344,DX7,DX-1,DX-1.3
B348,DX7,DX-1,DX-1.3
B349,DX7,DX-1,DX-1.3
B970,DX7,DX-1,DX-1.3
B9710,DX7,DX-1,DX-1.3
B9711,DX7,DX-1,DX-1.3
B9712,DX7,DX-1,DX-1.3
B9719,DX7,DX-1,DX-1.3
B9721,DX7,DX-1,DX-1.3
B9729,DX7,DX-1,DX-1.3
B9730,DX7,DX-1,DX-1.3
B9731,DX7,DX-1,DX-1.3
B9732,DX7,DX-1,DX-1.3
B9733,DX7,DX-1,DX-1.3
B9734,DX7,DX-1,DX-1.3
B9739,DX7,DX-1,DX-1.3
B974,DX7,DX-1,DX-1.3
B975,DX7,DX-1,DX-1.3
B976,DX7,DX-1,DX-1.3
B977,DX7,DX-1,DX-1.3
B9781,DX7,DX-1,DX-1.3
B9789,DX7,DX-1,DX-1.3
Z1633,DX7,DX-1,DX-1.3
A270,DX8,DX-1,DX-1.4
A279,DX8,DX-1,DX-1.4
A5900,DX8,DX-1,DX-1.4
A5901,DX8,DX-1,DX-1.4
A5902,DX8,DX-1,DX-1.4
A5903,DX8,DX-1,DX-1.4
A5909,DX8,DX-1,DX-1.4
A598,DX8,DX-1,DX-1.4
A599,DX8,DX-1,DX-1.4
A65,DX8,DX-1,DX-1.4
A660,DX8,DX-1,DX-1.4
A661,DX8,DX-1,DX-1.4
A662,DX8,DX-1,DX-1.4
A663,DX8,DX-1,DX-1.4
A664,DX8,DX-1,DX-1.4
A665,DX8,DX-1,DX-1.4
A666,DX8,DX-1,DX-1.4
A667,DX8,DX-1,DX-1.4
A668,DX8,DX-1,DX-1.4
A669,DX8,DX-1,DX-1.4
A670,DX8,DX-1,DX-1.4
A671,DX8,DX-1,DX-1.4
A672,DX8,DX-1,DX-1.4
A673,DX8,DX-1,DX-1.4
A679,DX8,DX-1,DX-1.4
A680,DX8,DX-1,DX-1.4
A681,DX8,DX-1,DX-1.4
A689,DX8,DX-1,DX-1.4
A690,DX8,DX-1,DX-1.4
A691,DX8,DX-1,DX-1.4
A6920,DX8,DX-1,DX-1.4
A6922,DX8,DX-1,DX-1.4
A6929,DX8,DX-1,DX-1.4
A698,DX8,DX-1,DX-1.4
A699,DX8,DX-1,DX-1.4
A750,DX8,DX-1,DX-1.4
A751,DX8,DX-1,DX-1.4
A752,DX8,DX-1,DX-1.4
A753,DX8,DX-1,DX-1.4
A759,DX8,DX-1,DX-1.4
A770,DX8,DX-1,DX-1.4
A771,DX8,DX-1,DX-1.4
A772,DX8,DX-1,DX-1.4
A773,DX8,DX-1,DX-1.4
A7740,DX8,DX-1,DX-1.4
A7741,DX8,DX-1,DX-1.4
A7749,DX8,DX-1,DX-1.4
A778,DX8,DX-1,DX-1.4
A779,DX8,DX-1,DX-1.4
A790,DX8,DX-1,DX-1.4
A791,DX8,DX-1,DX-1.4
A7981,DX8,DX-1,DX-1.4
A7989,DX8,DX-1,DX-1.4
A799,DX8,DX-1,DX-1.4
B500,DX8,DX-1,DX-1.4
B508,DX8,DX-1,DX-1.4
B509,DX8,DX-1,DX-1.4
B510,DX8,DX-1,DX-1.4
B518,DX8,DX-1,DX-1.4
B519,DX8,DX-1,DX-1.4
B520,DX8,DX-1,DX-1.4
B528,DX8,DX-1,DX-1.4
B529,DX8,DX-1,DX-1.4
B530,DX8,DX-1,DX-1.4
B531,DX8,DX-1,DX-1.4
B538,DX8,DX-1,DX-1.4
B54,DX8,DX-1,DX-1.4
B550,DX8,DX-1,DX-1.4
B551,DX8,DX-1,DX-1.4
B552,DX8,DX-1,DX-1.4
B559,DX8,DX-1,DX-1.4
B560,DX8,DX-1,DX-1.4
B561,DX8,DX-1,DX-1.4
B569,DX8,DX-1,DX-1.4
B570,DX8,DX-1,DX-1.4
B571,DX8,DX-1,DX-1.4
B572,DX8,DX-1,DX-1.4
B5730,DX8,DX-1,DX-1.4
B5739,DX8,DX-1,DX-1.4
B5740,DX8,DX-1,DX-1.4
B5749,DX8,DX-1,DX-1.4
B575,DX8,DX-1,DX-1.4
B5800,DX8,DX-1,DX-1.4
B5882,DX8,DX-1,DX-1.4
B5883,DX8,DX-1,DX-1.4
B5889,DX8,DX-1,DX-1.4
